pH,Mg Bound (Initial),Mg Initial,Ca Bound (Initial),Ca Initial,C(4) Bound (Initial),C(4) Initial,Cl Bound (Initial),Cl Initial,cal_ini_mol,dol_ini_mol,C(4) Final,Ca Final,Mg Final,Cl Final,pH,Calcite,Dolomite
7.038542752,0.008576463,1.46E-07,6.19E-09,5.67E-07,2.95E-05,0.003263307,0.00801767,0.046534741,0.122,1.22E-06,1.10E-05,0.003308373,0.005249648,0.00801767,11.7095677,0.115364818,0.003328036
7.499246154,0.007577235,2.15E-08,8.51E-10,4.06E-07,5.72E-05,0.009546001,0.004969918,0.075506164,0.122,1.22E-06,1.15E-05,0.002731922,0.004799586,0.004969918,11.78248272,0.11649043,0.002778869
7.072125204,0.002228114,7.42E-08,3.22E-09,3.48E-07,7.41E-05,0.008512339,0.003236037,0.071382904,0.122,1.22E-06,1.48E-05,0.00113795,0.001030878,0.003236036,10.89877782,0.119664817,0.001198457
7.996343846,0.005822863,5.80E-08,1.33E-09,8.03E-07,8.00E-05,0.003258728,0.001615798,0.065498363,0.122,1.22E-06,1.23E-05,0.002006922,0.0037482,0.001615798,11.81192707,0.117918417,0.002075883
7.001608414,0.003150537,1.48E-07,8.95E-09,7.58E-07,9.63E-05,0.007160298,0.007450088,0.031293493,0.122,1.22E-06,0.001296692,0.002494368,0.001856612,0.007450093,7.623903291,0.118211716,0.001295147
6.790727787,0.004717873,4.07E-08,9.45E-09,8.89E-07,7.21E-05,0.00283618,0.002939693,0.081213617,0.122,1.22E-06,1.24E-05,0.001856623,0.002801537,0.002939692,11.62650812,0.11822705,0.001917557
6.489152713,0.00599911,1.40E-07,5.78E-10,2.16E-07,5.07E-05,0.004948799,0.003084868,0.095273587,0.122,1.22E-06,1.20E-05,0.00218947,0.003770949,0.003084868,11.75158033,0.11758237,0.002229382
7.872019512,0.006638746,5.82E-08,5.33E-09,8.19E-07,8.18E-05,0.008573093,0.003770216,0.01523689,0.122,1.22E-06,1.18E-05,0.002396358,0.004172374,0.003770216,11.7663529,0.117137274,0.002467593
7.444824148,0.009561559,9.42E-08,8.31E-09,2.34E-07,2.06E-05,0.007154678,0.007764161,0.095536499,0.122,1.22E-06,1.10E-05,0.00346027,0.006091701,0.007764161,11.8009541,0.115069881,0.003471078
6.430645418,0.00281023,3.52E-08,9.75E-09,7.69E-07,4.06E-06,0.000644591,0.002002001,0.012716365,0.122,1.22E-06,1.37E-05,0.001251217,0.001568696,0.002002001,11.41894984,0.119507258,0.001242755
6.54204963,0.009917483,1.88E-07,9.31E-09,9.15E-07,8.08E-05,0.006342305,0.004568341,0.021837086,0.122,1.22E-06,1.13E-05,0.003144715,0.006703324,0.004568341,11.94369209,0.115641135,0.003215379
7.113633204,0.008292201,1.22E-07,1.50E-09,3.10E-07,2.05E-05,0.000607379,0.008998948,0.054905492,0.122,1.22E-06,1.09E-05,0.003391478,0.004891141,0.008998948,11.62410899,0.115207463,0.00340228
7.861654459,0.003879083,1.55E-07,1.09E-09,4.90E-07,7.62E-05,0.005704413,0.007465663,0.021558186,0.122,1.22E-06,1.77E-05,0.002167497,0.001653016,0.00746566,9.964874343,0.117606437,0.002227286
